sequence,v115@RhB8AeA8FeI8KeT/IvhFOlBlhB3iB5oBUrByxB,v115@RhB8AeA8FeI8KeT/IvhFOlB/nBaoB5oBFrB0rB
OLTZJSI,X,X
OLTZSIJ,X,X
OLTZSJI,X,X
OLITJSZ,X,O
OLITJZS,X,X
OLITSJZ,X,O
OLITSZJ,X,X
OLITZJS,X,X
OLITZSJ,X,X
OLIJTSZ,X,O
OLIJTZS,X,X
OLIJSTZ,O,O
OLIJSZT,O,X
OLIJZTS,O,X
OLIJZST,O,X
OLISTJZ,O,O
OLISTZJ,X,X
OLISJTZ,O,O
OLISJZT,O,X
OLISZTJ,O,X
OLISZJT,O,X
OLIZTJS,O,X
OLIZTSJ,O,X
OLIZJTS,O,X
OLIZJST,O,X
OLIZSTJ,O,X
OLIZSJT,O,X
OLJTISZ,X,O
OLJTIZS,X,X
OLJTSIZ,X,O
OLJTSZI,X,X
OLJTZIS,X,X
OLJTZSI,X,X
OLJITSZ,X,O
OLJITZS,X,X
OLJISTZ,O,O
OLJISZT,O,X
OLJIZTS,O,X
OLJIZST,O,X
OLJSTIZ,O,O
OLJSTZI,X,X
OLJSITZ,O,O
OLJSIZT,O,X
OLJSZTI,O,X
OLJSZIT,O,X
OLJZTIS,O,X
OLJZTSI,O,X
OLJZITS,O,X
OLJZIST,O,X
OLJZSTI,O,X
OLJZSIT,O,X
OLSTIJZ,O,O
OLSTIZJ,X,X
OLSTJIZ,O,O
OLSTJZI,X,X
OLSTZIJ,X,X
OLSTZJI,X,X
OLSITJZ,O,O
OLSITZJ,X,X
OLSIJTZ,O,O
OLSIJZT,O,X
OLSIZTJ,O,X
OLSIZJT,O,X
OLSJTIZ,O,O
OLSJTZI,X,X
OLSJITZ,O,O
OLSJIZT,O,X
OLSJZTI,O,X
OLSJZIT,O,X
OLSZTIJ,O,X
OLSZTJI,O,X
OLSZITJ,O,X
OLSZIJT,O,X
OLSZJTI,O,X
OLSZJIT,O,X
OLZTIJS,O,X
OLZTISJ,O,X
OLZTJIS,O,X
OLZTJSI,O,X
OLZTSIJ,O,X
OLZTSJI,O,X
OLZITJS,O,X
OLZITSJ,O,X
OLZIJTS,O,X
OLZIJST,O,X
OLZISTJ,O,X
OLZISJT,O,X
OLZJTIS,O,X
OLZJTSI,O,X
OLZJITS,O,X
OLZJIST,O,X
OLZJSTI,O,X
OLZJSIT,O,X
OLZSTIJ,O,X
OLZSTJI,O,X
OLZSITJ,O,X
OLZSIJT,O,X
OLZSJTI,O,X
OLZSJIT,O,X
OJTILSZ,X,O
OJTILZS,X,X
OJTISLZ,X,O
OJTISZL,X,X
OJTIZLS,X,X
OJTIZSL,X,X
OJTLISZ,X,O
OJTLIZS,X,X
OJTLSIZ,X,O
OJTLSZI,X,X
OJTLZIS,X,X
OJTLZSI,X,X
OJTSILZ,X,O
OJTSIZL,X,X
OJTSLIZ,X,O
OJTSLZI,X,X
OJTSZIL,X,X
OJTSZLI,X,X
OJTZILS,X,X
OJTZISL,X,X
OJTZLIS,X,X
OJTZLSI,X,X
OJTZSIL,X,X
OJTZSLI,X,X
OJITLSZ,X,O
OJITLZS,X,X
OJITSLZ,X,O
OJITSZL,X,X
OJITZLS,X,X
OJITZSL,X,X
OJILTSZ,X,O
OJILTZS,X,X
OJILSTZ,O,O
OJILSZT,O,X
OJILZTS,O,X
OJILZST,O,X
OJISTLZ,X,O
OJISTZL,X,X
OJISLTZ,X,O
OJISLZT,X,X
OJISZTL,X,X
OJISZLT,X,X
OJIZTLS,O,X
OJIZTSL,X,X
OJIZLTS,O,X
OJIZLST,O,X
OJIZSTL,X,X
OJIZSLT,X,X
OJLTISZ,X,O
OJLTIZS,X,X
OJLTSIZ,X,O
OJLTSZI,X,X
OJLTZIS,X,X
OJLTZSI,X,X
OJLITSZ,X,O
OJLITZS,X,X
OJLISTZ,O,O
OJLISZT,O,X
OJLIZTS,O,X
OJLIZST,O,X
OJLSTIZ,O,O
OJLSTZI,X,X
OJLSITZ,O,O
OJLSIZT,O,X
OJLSZTI,O,X
OJLSZIT,O,X
OJLZTIS,O,X
OJLZTSI,O,X
OJLZITS,O,X
OJLZIST,O,X
OJLZSTI,O,X
OJLZSIT,O,X
OJSTILZ,X,O
OJSTIZL,X,X
OJSTLIZ,X,O
OJSTLZI,X,X
OJSTZIL,X,X
OJSTZLI,X,X
OJSITLZ,X,O
OJSITZL,X,X
OJSILTZ,X,O
OJSILZT,X,X
OJSIZTL,X,X
OJSIZLT,X,X
OJSLTIZ,X,O
OJSLTZI,X,X
OJSLITZ,X,O
OJSLIZT,X,X
OJSLZTI,X,X
OJSLZIT,X,X
OJSZTIL,X,X
OJSZTLI,X,X
OJSZITL,X,X
OJSZILT,X,X
OJSZLTI,X,X
OJSZLIT,X,X
OJZTILS,O,X
OJZTISL,X,X
OJZTLIS,O,X
OJZTLSI,O,X
OJZTSIL,X,X
OJZTSLI,X,X
OJZITLS,O,X
OJZITSL,X,X
OJZILTS,O,X
OJZILST,O,X
OJZISTL,X,X
OJZISLT,X,X
OJZLTIS,O,X
OJZLTSI,O,X
OJZLITS,O,X
OJZLIST,O,X
OJZLSTI,O,X
OJZLSIT,O,X
OJZSTIL,X,X
OJZSTLI,X,X
OJZSITL,X,X
OJZSILT,X,X
OJZSLTI,X,X
OJZSLIT,X,X
OSTILJZ,X,O
OSTILZJ,X,X
OSTIJLZ,X,O
OSTIJZL,X,X
OSTIZLJ,X,X
OSTIZJL,X,X
OSTLIJZ,X,O
OSTLIZJ,X,X
OSTLJIZ,X,O
OSTLJZI,X,X
OSTLZIJ,X,X
OSTLZJI,X,X
OSTJILZ,X,O
OSTJIZL,X,X
OSTJLIZ,X,O
OSTJLZI,X,X
OSTJZIL,X,X
OSTJZLI,X,X
OSTZILJ,X,X
OSTZIJL,X,X
OSTZLIJ,X,X
OSTZLJI,X,X
OSTZJIL,X,X
OSTZJLI,X,X
OSITLJZ,X,O
OSITLZJ,X,X
OSITJLZ,X,O
OSITJZL,X,X
OSITZLJ,X,X
OSITZJL,X,X
OSILTJZ,X,O
OSILTZJ,X,X
OSILJTZ,X,O
OSILJZT,X,X
OSILZTJ,X,X
OSILZJT,X,X
OSIJTLZ,X,O
OSIJTZL,X,X
OSIJLTZ,X,O
OSIJLZT,X,X
OSIJZTL,X,X
OSIJZLT,X,X
OSIZTLJ,X,X
OSIZTJL,X,X
OSIZLTJ,X,X
OSIZLJT,X,X
OSIZJTL,X,X
OSIZJLT,X,X
OSLTIJZ,X,O
OSLTIZJ,X,X
OSLTJIZ,X,O
OSLTJZI,X,X
OSLTZIJ,X,X
OSLTZJI,X,X
OSLITJZ,X,O
OSLITZJ,X,X
OSLIJTZ,X,O
OSLIJZT,X,X
OSLIZTJ,X,X
OSLIZJT,X,X
OSLJTIZ,X,O
OSLJTZI,X,X
OSLJITZ,X,O
OSLJIZT,X,X
OSLJZTI,X,X
OSLJZIT,X,X
OSLZTIJ,X,X
OSLZTJI,X,X
OSLZITJ,X,X
OSLZIJT,X,X
OSLZJTI,X,X
OSLZJIT,X,X
OSJTILZ,X,O
OSJTIZL,X,X
OSJTLIZ,X,O
OSJTLZI,X,X
OSJTZIL,X,X
OSJTZLI,X,X
OSJITLZ,X,O
OSJITZL,X,X
OSJILTZ,X,O
OSJILZT,X,X
OSJIZTL,X,X
OSJIZLT,X,X
OSJLTIZ,X,O
OSJLTZI,X,X
OSJLITZ,X,O
OSJLIZT,X,X
OSJLZTI,X,X
OSJLZIT,X,X
OSJZTIL,X,X
OSJZTLI,X,X
OSJZITL,X,X
OSJZILT,X,X
OSJZLTI,X,X
OSJZLIT,X,X
OSZTILJ,X,X
OSZTIJL,X,X
OSZTLIJ,X,X
OSZTLJI,X,X
OSZTJIL,X,X
OSZTJLI,X,X
OSZITLJ,X,X
OSZITJL,X,X
OSZILTJ,X,X
OSZILJT,X,X
OSZIJTL,X,X
OSZIJLT,X,X
OSZLTIJ,X,X
OSZLTJI,X,X
OSZLITJ,X,X
OSZLIJT,X,X
OSZLJTI,X,X
OSZLJIT,X,X
OSZJTIL,X,X
OSZJTLI,X,X
OSZJITL,X,X
OSZJILT,X,X
OSZJLTI,X,X
OSZJLIT,X,X
OZTILJS,O,X
OZTILSJ,O,X
OZTIJLS,O,X
OZTIJSL,X,X
OZTISLJ,X,X
OZTISJL,X,X
OZTLIJS,O,X
OZTLISJ,O,X
OZTLJIS,O,X
OZTLJSI,O,X
OZTLSIJ,O,X
OZTLSJI,O,X
OZTJILS,O,X
OZTJISL,X,X
OZTJLIS,O,X
OZTJLSI,O,X
OZTJSIL,X,X
OZTJSLI,X,X
OZTSILJ,X,X
OZTSIJL,X,X
OZTSLIJ,X,X
OZTSLJI,X,X
OZTSJIL,X,X
OZTSJLI,X,X
OZITLJS,O,X
OZITLSJ,O,X
OZITJLS,O,X
OZITJSL,X,X
OZITSLJ,X,X
OZITSJL,X,X
OZILTJS,O,X
OZILTSJ,O,X
OZILJTS,O,X
OZILJST,O,X
OZILSTJ,O,X
OZILSJT,O,X
OZIJTLS,O,X
OZIJTSL,X,X
OZIJLTS,O,X
OZIJLST,O,X
OZIJSTL,X,X
OZIJSLT,X,X
OZISTLJ,X,X
OZISTJL,X,X
OZISLTJ,X,X
OZISLJT,X,X
OZISJTL,X,X
OZISJLT,X,X
OZLTIJS,O,X
OZLTISJ,O,X
OZLTJIS,O,X
OZLTJSI,O,X
OZLTSIJ,O,X
OZLTSJI,O,X
OZLITJS,O,X
OZLITSJ,O,X
OZLIJTS,O,X
OZLIJST,O,X
OZLISTJ,O,X
OZLISJT,O,X
OZLJTIS,O,X
OZLJTSI,O,X
OZLJITS,O,X
OZLJIST,O,X
OZLJSTI,O,X
OZLJSIT,O,X
OZLSTIJ,O,X
OZLSTJI,O,X
OZLSITJ,O,X
OZLSIJT,O,X
OZLSJTI,O,X
OZLSJIT,O,X
OZJTILS,O,X
OZJTISL,X,X
OZJTLIS,O,X
OZJTLSI,O,X
OZJTSIL,X,X
OZJTSLI,X,X
OZJITLS,O,X
OZJITSL,X,X
OZJILTS,O,X
OZJILST,O,X
OZJISTL,X,X
OZJISLT,X,X
OZJLTIS,O,X
OZJLTSI,O,X
OZJLITS,O,X
OZJLIST,O,X
OZJLSTI,O,X
OZJLSIT,O,X
OZJSTIL,X,X
OZJSTLI,X,X
OZJSITL,X,X
OZJSILT,X,X
OZJSLTI,X,X
OZJSLIT,X,X
OZSTILJ,X,X
OZSTIJL,X,X
OZSTLIJ,X,X
OZSTLJI,X,X
OZSTJIL,X,X
OZSTJLI,X,X
OZSITLJ,X,X
OZSITJL,X,X
OZSILTJ,X,X
OZSILJT,X,X
OZSIJTL,X,X
OZSIJLT,X,X
OZSLTIJ,X,X
OZSLTJI,X,X
OZSLITJ,X,X
OZSLIJT,X,X
OZSLJTI,X,X
OZSLJIT,X,X
OZSJTIL,X,X
OZSJTLI,X,X
OZSJITL,X,X
OZSJILT,X,X
OZSJLTI,X,X
OZSJLIT,X,X
